"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.29 HS50, MS3, IMU Together.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 08:43:37.55",287,0,0,0,0,0,0
"2023-05-27 08:43:37.6",288,0,0,0,0,0,0
"2023-05-27 08:43:37.65",289,0,0,0,0,0,0
"2023-05-27 08:43:37.7",290,0,0,0,0,0,0
"2023-05-27 08:43:37.75",291,0,0,0,0,0,0
"2023-05-27 08:43:37.8",292,0,0,0,0,0,0
"2023-05-27 08:43:37.85",293,0,0,0,0,0,0
"2023-05-27 08:43:37.9",294,0,0,0,0,0,0
"2023-05-27 08:43:37.95",295,0,0,0,0,0,0
"2023-05-27 08:43:38",296,0,0,0,0,0,0
"2023-05-27 08:43:38.05",297,0,0,0,0,0,0
"2023-05-27 08:43:38.1",298,0,0,0,0,0,0
"2023-05-27 08:43:38.15",299,0,0,0,0,0,0
"2023-05-27 08:43:38.2",300,0,0,0,0,0,0
"2023-05-27 08:43:38.25",301,0,0,0,0,0,0
"2023-05-27 08:43:38.3",302,0,0,0,0,0,0
"2023-05-27 08:43:38.35",303,0,0,0,0,0,0
"2023-05-27 08:43:38.4",304,0,0,0,0,0,0
"2023-05-27 08:43:38.45",305,0,0,0,0,0,0
"2023-05-27 08:43:38.5",306,0,0,0,0,0,0
"2023-05-27 08:43:38.55",307,0,0,0,0,0,0
"2023-05-27 08:43:38.6",308,0,0,0,0,0,0
"2023-05-27 08:43:38.65",309,0,0,0,0,0,0
"2023-05-27 08:43:38.7",310,0,0,0,0,0,0
"2023-05-27 08:43:38.75",311,0,0,0,0,0,0
"2023-05-27 08:43:38.8",312,0,0,0,0,0,0
"2023-05-27 08:43:38.85",313,0,0,0,0,0,0
"2023-05-27 08:43:38.9",314,0,0,0,0,0,0
"2023-05-27 08:43:38.95",315,0,0,0,0,0,0
"2023-05-27 08:43:39",316,0,0,0,0,0,0
"2023-05-27 08:43:39.05",317,0,0,0,0,0,0
"2023-05-27 08:43:39.1",318,0,0,0,0,0,0
"2023-05-27 08:43:39.15",319,0,0,0,0,0,0
