"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.15 CR1000X R350 and IMU through SDM-SIO1A.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 14:41:12.9",224,0,0,0,0,0,0
"2023-05-26 14:41:12.95",225,0,0,0,0,0,0
"2023-05-26 14:41:13",226,0,0,0,0,0,0
"2023-05-26 14:41:13.05",227,0,0,0,0,0,0
"2023-05-26 14:41:13.1",228,0,0,0,0,0,0
"2023-05-26 14:41:13.15",229,0,0,0,0,0,0
"2023-05-26 14:41:13.2",230,0,0,0,0,0,0
"2023-05-26 14:41:13.25",231,0,0,0,0,0,0
"2023-05-26 14:41:13.3",232,0,0,0,0,0,0
"2023-05-26 14:41:13.35",233,0,0,0,0,0,0
"2023-05-26 14:41:13.4",234,0,0,0,0,0,0
"2023-05-26 14:41:13.45",235,0,0,0,0,0,0
"2023-05-26 14:41:13.5",236,0,0,0,0,0,0
"2023-05-26 14:41:13.55",237,0,0,0,0,0,0
"2023-05-26 14:41:13.6",238,0,0,0,0,0,0
"2023-05-26 14:41:13.65",239,0,0,0,0,0,0
"2023-05-26 14:41:13.7",240,0,0,0,0,0,0
"2023-05-26 14:41:13.75",241,0,0,0,0,0,0
"2023-05-26 14:41:13.8",242,0,0,0,0,0,0
"2023-05-26 14:41:13.85",243,0,0,0,0,0,0
"2023-05-26 14:41:13.9",244,0,0,0,0,0,0
"2023-05-26 14:41:13.95",245,0,0,0,0,0,0
"2023-05-26 14:41:14",246,0,0,0,0,0,0
"2023-05-26 14:41:14.05",247,0,0,0,0,0,0
"2023-05-26 14:41:14.1",248,0,0,0,0,0,0
"2023-05-26 14:41:14.15",249,0,0,0,0,0,0
"2023-05-26 14:41:14.2",250,0,0,0,0,0,0
"2023-05-26 14:41:14.25",251,0,0,0,0,0,0
"2023-05-26 14:41:14.3",252,0,0,0,0,0,0
"2023-05-26 14:41:14.35",253,0,0,0,0,0,0
"2023-05-26 14:41:14.4",254,0,0,0,0,0,0
"2023-05-26 14:41:14.45",255,0,0,0,0,0,0
"2023-05-26 14:41:14.5",256,0,0,0,0,0,0
"2023-05-26 14:41:14.55",257,0,0,0,0,0,0
"2023-05-26 14:41:14.6",258,0,0,0,0,0,0
"2023-05-26 14:41:14.65",259,0,0,0,0,0,0
"2023-05-26 14:41:14.7",260,0,0,0,0,0,0
"2023-05-26 14:41:14.75",261,0,0,0,0,0,0
"2023-05-26 14:41:14.8",262,0,0,0,0,0,0
"2023-05-26 14:41:14.85",263,0,0,0,0,0,0
"2023-05-26 14:41:14.9",264,0,0,0,0,0,0
"2023-05-26 14:41:14.95",265,0,0,0,0,0,0
"2023-05-26 14:41:15",266,0,0,0,0,0,0
"2023-05-26 14:41:15.05",267,0,0,0,0,0,0
