"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 08:58:41.45",429,0,0,0,0,0,0
"2023-05-27 08:58:41.5",430,0,0,0,0,0,0
"2023-05-27 08:58:41.55",431,0,0,0,0,0,0
"2023-05-27 08:58:41.6",432,0,0,0,0,0,0
"2023-05-27 08:58:41.65",433,0,0,0,0,0,0
"2023-05-27 08:58:41.7",434,0,0,0,0,0,0
"2023-05-27 08:58:41.75",435,0,0,0,0,0,0
"2023-05-27 08:58:41.8",436,0,0,0,0,0,0
"2023-05-27 08:58:41.85",437,0,0,0,0,0,0
"2023-05-27 08:58:41.9",438,0,0,0,0,0,0
"2023-05-27 08:58:41.95",439,0,0,0,0,0,0
"2023-05-27 08:58:42",440,0,0,0,0,0,0
"2023-05-27 08:58:42.05",441,0,0,0,0,0,0
"2023-05-27 08:58:42.1",442,0,0,0,0,0,0
"2023-05-27 08:58:42.15",443,0,0,0,0,0,0
"2023-05-27 08:58:42.2",444,0,0,0,0,0,0
