"TOA5","11167","CR1000X","11167","CR1000X.Std.03.02","$*$#$#$*$$.$#$","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 14:18:37.35",177,0,0,0,0,0,0
"2023-05-26 14:18:37.4",178,0,0,0,0,0,0
"2023-05-26 14:18:37.45",179,0,0,0,0,0,0
"2023-05-26 14:18:37.5",180,0,0,0,0,0,0
"2023-05-26 14:18:37.55",181,0,0,0,0,0,0
"2023-05-26 14:18:37.6",182,0,0,0,0,0,0
"2023-05-26 14:18:37.65",183,0,0,0,0,0,0
"2023-05-26 14:18:37.7",184,0,0,0,0,0,0
"2023-05-26 14:18:37.75",185,0,0,0,0,0,0
"2023-05-26 14:18:37.8",186,0,0,0,0,0,0
"2023-05-26 14:18:37.85",187,0,0,0,0,0,0
"2023-05-26 14:18:37.9",188,0,0,0,0,0,0
"2023-05-26 14:18:37.95",189,0,0,0,0,0,0
"2023-05-26 14:18:38",190,0,0,0,0,0,0
"2023-05-26 14:18:38.05",191,0,0,0,0,0,0
"2023-05-26 14:18:38.1",192,0,0,0,0,0,0
"2023-05-26 14:18:38.15",193,0,0,0,0,0,0
"2023-05-26 14:18:38.2",194,0,0,0,0,0,0
"2023-05-26 14:18:38.25",195,0,0,0,0,0,0
"2023-05-26 14:18:38.3",196,0,0,0,0,0,0
"2023-05-26 14:18:38.35",197,0,0,0,0,0,0
"2023-05-26 14:18:38.4",198,0,0,0,0,0,0
"2023-05-26 14:18:38.45",199,0,0,0,0,0,0
"2023-05-26 14:18:38.5",200,0,0,0,0,0,0
"2023-05-26 14:18:38.55",201,0,0,0,0,0,0
"2023-05-26 14:18:38.6",202,0,0,0,0,0,0
"2023-05-26 14:18:38.65",203,0,0,0,0,0,0
"2023-05-26 14:18:38.7",204,0,0,0,0,0,0
"2023-05-26 14:18:38.75",205,0,0,0,0,0,0
"2023-05-26 14:18:38.8",206,0,0,0,0,0,0
"2023-05-26 14:18:38.85",207,0,0,0,0,0,0
"2023-05-26 14:18:38.9",208,0,0,0,0,0,0
"2023-05-26 14:18:38.95",209,0,0,0,0,0,0
"2023-05-26 14:18:39",210,0,0,0,0,0,0
"2023-05-26 14:18:39.05",211,0,0,0,0,0,0
"2023-05-26 14:18:39.1",212,0,0,0,0,0,0
"2023-05-26 14:18:39.15",213,0,0,0,0,0,0
"2023-05-26 14:18:39.2",214,0,0,0,0,0,0
"2023-05-26 14:18:39.25",215,0,0,0,0,0,0
"2023-05-26 14:18:39.3",216,0,0,0,0,0,0
"2023-05-26 14:18:39.35",217,0,0,0,0,0,0
"2023-05-26 14:18:39.4",218,0,0,0,0,0,0
"2023-05-26 14:18:39.45",219,0,0,0,0,0,0
"2023-05-26 14:18:39.5",220,0,0,0,0,0,0
"2023-05-26 14:18:39.55",221,0,0,0,0,0,0
"2023-05-26 14:18:39.6",222,0,0,0,0,0,0
"2023-05-26 14:18:39.65",223,0,0,0,0,0,0
"2023-05-26 14:18:39.7",224,0,0,0,0,0,0
"2023-05-26 14:18:39.75",225,0,0,0,0,0,0
"2023-05-26 14:18:39.8",226,0,0,0,0,0,0
"2023-05-26 14:18:39.85",227,0,0,0,0,0,0
"2023-05-26 14:18:39.9",228,0,0,0,0,0,0
"2023-05-26 14:18:39.95",229,0,0,0,0,0,0
"2023-05-26 14:18:40",230,0,0,0,0,0,0
"2023-05-26 14:18:40.05",231,0,0,0,0,0,0
"2023-05-26 14:18:40.1",232,0,0,0,0,0,0
"2023-05-26 14:18:40.15",233,0,0,0,0,0,0
"2023-05-26 14:18:40.2",234,0,0,0,0,0,0
"2023-05-26 14:18:40.25",235,0,0,0,0,0,0
"2023-05-26 14:18:40.3",236,0,0,0,0,0,0
"2023-05-26 14:18:40.35",237,0,0,0,0,0,0
"2023-05-26 14:18:40.4",238,0,0,0,0,0,0
"2023-05-26 14:18:40.45",239,0,0,0,0,0,0
"2023-05-26 14:18:40.5",240,0,0,0,0,0,0
"2023-05-26 14:18:40.55",241,0,0,0,0,0,0
"2023-05-26 14:18:40.6",242,0,0,0,0,0,0
"2023-05-26 14:18:40.65",243,0,0,0,0,0,0
"2023-05-26 14:18:40.7",244,0,0,0,0,0,0
"2023-05-26 14:18:40.75",245,0,0,0,0,0,0
"2023-05-26 14:18:40.8",246,0,0,0,0,0,0
"2023-05-26 14:18:40.85",247,0,0,0,0,0,0
"2023-05-26 14:18:40.9",248,0,0,0,0,0,0
"2023-05-26 14:18:40.95",249,0,0,0,0,0,0
"2023-05-26 14:18:41",250,0,0,0,0,0,0
"2023-05-26 14:18:41.05",251,0,0,0,0,0,0
"2023-05-26 14:18:41.1",252,0,0,0,0,0,0
"2023-05-26 14:18:41.15",253,0,0,0,0,0,0
"2023-05-26 14:18:41.2",254,0,0,0,0,0,0
"2023-05-26 14:18:41.25",255,0,0,0,0,0,0
"2023-05-26 14:18:41.3",256,0,0,0,0,0,0
"2023-05-26 14:18:41.35",257,0,0,0,0,0,0
"2023-05-26 14:18:41.4",258,0,0,0,0,0,0
"2023-05-26 14:18:41.45",259,0,0,0,0,0,0
"2023-05-26 14:18:41.5",260,0,0,0,0,0,0
"2023-05-26 14:18:41.55",261,0,0,0,0,0,0
"2023-05-26 14:18:41.6",262,0,0,0,0,0,0
"2023-05-26 14:18:41.65",263,0,0,0,0,0,0
"2023-05-26 14:18:41.7",264,0,0,0,0,0,0
"2023-05-26 14:18:41.75",265,0,0,0,0,0,0
"2023-05-26 14:18:41.8",266,0,0,0,0,0,0
"2023-05-26 14:18:41.85",267,0,0,0,0,0,0
"2023-05-26 14:18:41.9",268,0,0,0,0,0,0
"2023-05-26 14:18:41.95",269,0,0,0,0,0,0
"2023-05-26 14:18:42",270,0,0,0,0,0,0
"2023-05-26 14:18:42.05",271,0,0,0,0,0,0
"2023-05-26 14:18:42.1",272,0,0,0,0,0,0
"2023-05-26 14:18:42.15",273,0,0,0,0,0,0
"2023-05-26 14:18:42.2",274,0,0,0,0,0,0
"2023-05-26 14:18:42.25",275,0,0,0,0,0,0
"2023-05-26 14:18:42.3",276,0,0,0,0,0,0
"2023-05-26 14:18:42.35",277,0,0,0,0,0,0
"2023-05-26 14:18:42.4",278,0,0,0,0,0,0
"2023-05-26 14:18:42.45",279,0,0,0,0,0,0
"2023-05-26 14:18:42.5",280,0,0,0,0,0,0
"2023-05-26 14:18:42.55",281,0,0,0,0,0,0
"2023-05-26 14:18:42.6",282,0,0,0,0,0,0
"2023-05-26 14:18:42.65",283,0,0,0,0,0,0
"2023-05-26 14:18:42.7",284,0,0,0,0,0,0
"2023-05-26 14:18:42.75",285,0,0,0,0,0,0
"2023-05-26 14:18:42.8",286,0,0,0,0,0,0
"2023-05-26 14:18:42.85",287,0,0,0,0,0,0
"2023-05-26 14:18:42.9",288,0,0,0,0,0,0
"2023-05-26 14:18:42.95",289,0,0,0,0,0,0
"2023-05-26 14:18:43",290,0,0,0,0,0,0
"2023-05-26 14:18:43.05",291,0,0,0,0,0,0
"2023-05-26 14:18:43.1",292,0,0,0,0,0,0
"2023-05-26 14:18:43.15",293,0,0,0,0,0,0
"2023-05-26 14:18:43.2",294,0,0,0,0,0,0
"2023-05-26 14:18:43.25",295,0,0,0,0,0,0
"2023-05-26 14:18:43.3",296,0,0,0,0,0,0
"2023-05-26 14:18:43.35",297,0,0,0,0,0,0
"2023-05-26 14:18:43.4",298,0,0,0,0,0,0
"2023-05-26 14:18:43.45",299,0,0,0,0,0,0
"2023-05-26 14:18:43.5",300,0,0,0,0,0,0
"2023-05-26 14:18:43.55",301,0,0,0,0,0,0
"2023-05-26 14:18:43.6",302,0,0,0,0,0,0
"2023-05-26 14:18:43.65",303,0,0,0,0,0,0
"2023-05-26 14:18:43.7",304,0,0,0,0,0,0
"2023-05-26 14:18:43.75",305,0,0,0,0,0,0
"2023-05-26 14:18:43.8",306,0,0,0,0,0,0
"2023-05-26 14:18:43.85",307,0,0,0,0,0,0
"2023-05-26 14:18:43.9",308,0,0,0,0,0,0
"2023-05-26 14:18:43.95",309,0,0,0,0,0,0
"2023-05-26 14:18:44",310,0,0,0,0,0,0
"2023-05-26 14:18:44.05",311,0,0,0,0,0,0
"2023-05-26 14:18:44.1",312,0,0,0,0,0,0
"2023-05-26 14:18:44.15",313,0,0,0,0,0,0
"2023-05-26 14:18:44.2",314,0,0,0,0,0,0
"2023-05-26 14:18:44.25",315,0,0,0,0,0,0
"2023-05-26 14:18:44.3",316,0,0,0,0,0,0
"2023-05-26 14:18:44.35",317,0,0,0,0,0,0
"2023-05-26 14:18:44.4",318,0,0,0,0,0,0
"2023-05-26 14:18:44.45",319,0,0,0,0,0,0
"2023-05-26 14:18:44.5",320,0,0,0,0,0,0
"2023-05-26 14:18:44.55",321,0,0,0,0,0,0
"2023-05-26 14:18:44.6",322,0,0,0,0,0,0
"2023-05-26 14:18:44.65",323,0,0,0,0,0,0
"2023-05-26 14:18:44.7",324,0,0,0,0,0,0
"2023-05-26 14:18:44.75",325,0,0,0,0,0,0
"2023-05-26 14:18:44.8",326,0,0,0,0,0,0
"2023-05-26 14:18:44.85",327,0,0,0,0,0,0
"2023-05-26 14:18:44.9",328,0,0,0,0,0,0
"2023-05-26 14:18:44.95",329,0,0,0,0,0,0
"2023-05-26 14:18:45",330,0,0,0,0,0,0
"2023-05-26 14:18:45.05",331,0,0,0,0,0,0
"2023-05-26 14:18:45.1",332,0,0,0,0,0,0
"2023-05-26 14:18:45.15",333,0,0,0,0,0,0
"2023-05-26 14:18:45.2",334,0,0,0,0,0,0
"2023-05-26 14:18:45.25",335,0,0,0,0,0,0
"2023-05-26 14:18:45.3",336,0,0,0,0,0,0
"2023-05-26 14:18:45.35",337,0,0,0,0,0,0
"2023-05-26 14:18:45.4",338,0,0,0,0,0,0
"2023-05-26 14:18:45.45",339,0,0,0,0,0,0
"2023-05-26 14:18:45.5",340,0,0,0,0,0,0
"2023-05-26 14:18:45.55",341,0,0,0,0,0,0
"2023-05-26 14:18:45.6",342,0,0,0,0,0,0
"2023-05-26 14:18:45.65",343,0,0,0,0,0,0
"2023-05-26 14:18:45.7",344,0,0,0,0,0,0
"2023-05-26 14:18:45.75",345,0,0,0,0,0,0
"2023-05-26 14:18:45.8",346,0,0,0,0,0,0
"2023-05-26 14:18:45.85",347,0,0,0,0,0,0
"2023-05-26 14:18:45.9",348,0,0,0,0,0,0
"2023-05-26 14:18:45.95",349,0,0,0,0,0,0
"2023-05-26 14:18:46",350,0,0,0,0,0,0
"2023-05-26 14:18:46.05",351,0,0,0,0,0,0
"2023-05-26 14:18:46.1",352,0,0,0,0,0,0
"2023-05-26 14:18:46.15",353,0,0,0,0,0,0
"2023-05-26 14:18:46.2",354,0,0,0,0,0,0
"2023-05-26 14:18:46.25",355,0,0,0,0,0,0
"2023-05-26 14:18:46.3",356,0,0,0,0,0,0
"2023-05-26 14:18:46.35",357,0,0,0,0,0,0
"2023-05-26 14:18:46.4",358,0,0,0,0,0,0
"2023-05-26 14:18:46.45",359,0,0,0,0,0,0
"2023-05-26 14:18:46.5",360,0,0,0,0,0,0
"2023-05-26 14:18:46.55",361,0,0,0,0,0,0
"2023-05-26 14:18:46.6",362,0,0,0,0,0,0
"2023-05-26 14:18:46.65",363,0,0,0,0,0,0
"2023-05-26 14:18:46.7",364,0,0,0,0,0,0
"2023-05-26 14:18:46.75",365,0,0,0,0,0,0
"2023-05-26 14:18:46.8",366,0,0,0,0,0,0
"2023-05-26 14:18:46.85",367,0,0,0,0,0,0
"2023-05-26 14:18:46.9",368,0,0,0,0,0,0
"2023-05-26 14:18:46.95",369,0,0,0,0,0,0
"2023-05-26 14:18:47",370,0,0,0,0,0,0
"2023-05-26 14:18:47.05",371,0,0,0,0,0,0
"2023-05-26 14:18:47.1",372,0,0,0,0,0,0
"2023-05-26 14:18:47.15",373,0,0,0,0,0,0
"2023-05-26 14:18:47.2",374,0,0,0,0,0,0
"2023-05-26 14:18:47.25",375,0,0,0,0,0,0
"2023-05-26 14:18:47.3",376,0,0,0,0,0,0
"2023-05-26 14:18:47.35",377,0,0,0,0,0,0
"2023-05-26 14:18:47.4",378,0,0,0,0,0,0
"2023-05-26 14:18:47.45",379,0,0,0,0,0,0
"2023-05-26 14:18:47.5",380,0,0,0,0,0,0
"2023-05-26 14:18:47.55",381,0,0,0,0,0,0
"2023-05-26 14:18:47.6",382,0,0,0,0,0,0
"2023-05-26 14:18:47.65",383,0,0,0,0,0,0
"2023-05-26 14:18:47.7",384,0,0,0,0,0,0
"2023-05-26 14:18:47.75",385,0,0,0,0,0,0
"2023-05-26 14:18:47.8",386,0,0,0,0,0,0
"2023-05-26 14:18:47.85",387,0,0,0,0,0,0
"2023-05-26 14:18:47.9",388,0,0,0,0,0,0
"2023-05-26 14:18:47.95",389,0,0,0,0,0,0
"2023-05-26 14:18:48",390,0,0,0,0,0,0
"2023-05-26 14:18:48.05",391,0,0,0,0,0,0
"2023-05-26 14:18:48.1",392,0,0,0,0,0,0
"2023-05-26 14:18:48.15",393,0,0,0,0,0,0
"2023-05-26 14:18:48.2",394,0,0,0,0,0,0
"2023-05-26 14:18:48.25",395,0,0,0,0,0,0
"2023-05-26 14:18:48.3",396,0,0,0,0,0,0
"2023-05-26 14:18:48.35",397,0,0,0,0,0,0
"2023-05-26 14:18:48.4",398,0,0,0,0,0,0
"2023-05-26 14:18:48.45",399,0,0,0,0,0,0
"2023-05-26 14:18:48.5",400,0,0,0,0,0,0
"2023-05-26 14:18:48.55",401,0,0,0,0,0,0
"2023-05-26 14:18:48.6",402,0,0,0,0,0,0
"2023-05-26 14:18:48.65",403,0,0,0,0,0,0
"2023-05-26 14:18:48.7",404,0,0,0,0,0,0
"2023-05-26 14:18:48.75",405,0,0,0,0,0,0
"2023-05-26 14:18:48.8",406,0,0,0,0,0,0
"2023-05-26 14:18:48.85",407,0,0,0,0,0,0
"2023-05-26 14:18:48.9",408,0,0,0,0,0,0
"2023-05-26 14:18:48.95",409,0,0,0,0,0,0
"2023-05-26 14:18:49",410,0,0,0,0,0,0
"2023-05-26 14:18:49.05",411,0,0,0,0,0,0
"2023-05-26 14:18:49.1",412,0,0,0,0,0,0
"2023-05-26 14:18:49.15",413,0,0,0,0,0,0
"2023-05-26 14:18:49.2",414,0,0,0,0,0,0
"2023-05-26 14:18:49.25",415,0,0,0,0,0,0
"2023-05-26 14:18:49.3",416,0,0,0,0,0,0
"2023-05-26 14:18:49.35",417,0,0,0,0,0,0
"2023-05-26 14:18:49.4",418,0,0,0,0,0,0
"2023-05-26 14:18:49.45",419,0,0,0,0,0,0
"2023-05-26 14:18:49.5",420,0,0,0,0,0,0
"2023-05-26 14:18:49.55",421,0,0,0,0,0,0
"2023-05-26 14:18:49.6",422,0,0,0,0,0,0
"2023-05-26 14:18:49.65",423,0,0,0,0,0,0
"2023-05-26 14:18:49.7",424,0,0,0,0,0,0
"2023-05-26 14:18:49.75",425,0,0,0,0,0,0
"2023-05-26 14:18:49.8",426,0,0,0,0,0,0
"2023-05-26 14:18:49.85",427,0,0,0,0,0,0
"2023-05-26 14:18:49.9",428,0,0,0,0,0,0
"2023-05-26 14:18:49.95",429,0,0,0,0,0,0
"2023-05-26 14:18:50",430,0,0,0,0,0,0
"2023-05-26 14:18:50.05",431,0,0,0,0,0,0
"2023-05-26 14:18:50.1",432,0,0,0,0,0,0
"2023-05-26 14:18:50.15",433,0,0,0,0,0,0
"2023-05-26 14:18:50.2",434,0,0,0,0,0,0
"2023-05-26 14:18:50.25",435,0,0,0,0,0,0
"2023-05-26 14:18:50.3",436,0,0,0,0,0,0
"2023-05-26 14:18:50.35",437,0,0,0,0,0,0
"2023-05-26 14:18:50.4",438,0,0,0,0,0,0
"2023-05-26 14:18:50.45",439,0,0,0,0,0,0
"2023-05-26 14:18:50.5",440,0,0,0,0,0,0
"2023-05-26 14:18:50.55",441,0,0,0,0,0,0
"2023-05-26 14:18:50.6",442,0,0,0,0,0,0
"2023-05-26 14:18:50.65",443,0,0,0,0,0,0
"2023-05-26 14:18:50.7",444,0,0,0,0,0,0
"2023-05-26 14:18:50.75",445,0,0,0,0,0,0
